,0
0,EOS
1,PAD
2,.
3,","
4,I
5,you
6,the
7, 
8,to
9,a
10,'s
11,n't
12,...
13,it
14,of
15,do
16,and
17,that
18,in
19,me
20,?
21,is
22,You
23,for
24,have
25,know
26,was
27,be
28,your
29,this
30,on
31,-
32,my
33,we
34,!
35,--
36,with
37,not
38,'re
39,he
40,what
41,'m
42,What
43,are
44,It
45,like
46,about
47,all
48,just
49,get
50,out
51,got
52,did
53,up
54,him
55,'ll
56,here
57,want
58,they
59,can
60,think
61,at
62,there
63,one
64,'
65,And
66,but
67,He
68,if
69,The
70,That
71,going
72,so
73,go
74,'ve
75,We
76,her
77,right
78,no
79,But
80,""""
81,would
82,see
83,as
84,she
85,his
86,could
87,were
88,an
89,No
90,from
91,been
92,>
93,time
94,ca
95,now
96,or
97,some
98,back
99,will
100,them
101,had
102,tell
103,'d
104,us
105,good
106,Oh
107,Well
108,man
109,How
110,say
111,when
112,who
113,how
114,never
115,They
116,take
117,something
118,way
119,come
120,Do
121,I'm
122,too
123,mean
124,make
125,So
126,little
127,na
128,gon
129,down
130,more
131,She
132,thing
133,does
134,This
135,said
136,over
137,need
138,should
139,If
140,really
141,any
142,off
143,has
144,Why
145,our
146,by
147,people
148,only
149,A
150,look
151,then
152,much
153,let
154,very
155,two
156,There
157,Yeah
158,where
159,<
160,why
161,am
162,talk
163,thought
164,into
165,anything
166,love
167,give
168,sure
169,even
170,Mr.
171,u
172,Now
173,ever
174,....
175,find
176,than
177,around
178,other
179,life
180,told
181,Where
182,still
183,work
184,Yes
185,things
186,call
187,must
188,You're
189,before
190,night
191,sorry
192,better
193,doing
194,Is
195,guy
196,money
197,Just
198,always
199,wo
200,long
201,last
202,My
203,well
204,believe
205,years
206,help
207,these
208,day
209,Let
210,first
211,their
212,away
213,Not
214,old
215,God
216,place
217,put
218,Who
219,those
220,feel
221,Are
222,nothing
223,because
224,sir
225,Then
226,All
227,Did
228,kind
229,after
230,Maybe
231,again
232,keep
233,lot
234,home
235,name
236,course
237,made
238,Okay
239,Don't
240,shit
241,Hey
242,bad
243,Look
244,might
245,big
246,ta
247,talking
248,hell
249,kill
250,everything
251,great
252,wanted
253,understand
254,guess
255,through
256,dead
257,girl
258,hear
259,own
260,Your
261,enough
262,real
263,ask
264,yourself
265,three
266,When
267,ai
268,else
269,Good
270,maybe
271,fucking
272,leave
273,getting
274,done
275,came
276,okay
277,remember
278,Come
279,:
280,every
281,another
282,left
283,mind
284,wrong
285,care
286,saw
287,;
288,job
289,being
290,knew
291,world
292,In
293,trying
294,someone
295,I'll
296,whole
297,fuck
298,happened
299,went
300,nice
301,house
302,new
303,looking
304,father
305,seen
306,guys
307,heard
308,car
309,five
310,friend
311,stay
312,room
313,same
314,coming
315,best
316,show
317,try
318,used
319,fine
320,Can
321,stop
322,boy
323,found
324,killed
325,live
326,mother
327,yes
328,idea
329,called
330,business
331,many
332,please
333,hundred
334,matter
335,says
336,myself
337,Get
338,pretty
339,few
340,may
341,woman
342,head
343,Thank
344,wife
345,men
346,run
347,wait
348,without
349,next
350,while
351,*
352,'em
353,already
354,tonight
355,morning
356,ya
357,......
358,start
359,use
360,ago
361,play
362,Tell
363,together
364,took
365,wants
366,stuff
367,days
368,uh
369,For
370,hard
371,saying
372,once
373,..
374,minute
375,most
376,meet
377,Like
378,son
379,Have
380,such
381,worry
382,One
383,yeah
384,gone
385,yet
386,Go
387,which
388,tomorrow
389,crazy
390,Right
391,kid
392,since
393,knows
394,deal
395,part
396,alone
397,school
398,four
399,hope
400,afraid
401,Thanks
402,supposed
403,Please
404,thinking
405,ass
406,friends
407,probably
408,anyone
409,until
410,thousand
411,year
412,point
413,problem
414,ten
415,die
416,wanna
417,makes
418,To
419,half
420,minutes
421,Of
422,huh
423,baby
424,I've
425,read
426,case
427,listen
428,story
429,word
430,Here
431,face
432,week
433,gave
434,pay
435,six
436,lost
437,gets
438,under
439,least
440,somebody
441,fuckin
442,working
443,town
444,end
445,late
446,twenty
447,Jesus
448,happen
449,having
450,family
451,bring
452,kids
453,today
454,hate
455,asked
456,both
457,hurt
458,far
459,turn
460,Listen
461,each
462,rest
463,move
464,different
465,John
466,married
467,hit
468,See
469,Or
470,door
471,As
472,true
473,wish
474,trouble
475,open
476,Miss
477,shot
478,times
479,brother
480,beautiful
481,set
482,chance
483,looks
484,exactly
485,sleep
486,happy
487,comes
488,couple
489,hand
490,Mrs.
491,young
492,making
493,phone
494,soon
495,anymore
496,important
497,change
498,hours
499,walk
500,damn
501,taking
502,easy
503,telling
504,Will
505,Mr
506,Jack
507,person
508,watch
509,New
510,met
511,eat
512,Take
513,side
514,quite
515,ready
516,goes
517,Hi
518,cut
519,dollars
520,later
521,second
522,question
523,sit
524,anybody
525,mine
526,heart
527,forget
528,Would
529,close
530,bit
531,hold
532,drink
533,reason
534,eyes
535,We're
536,anyway
537,against
538,Hello
539,tried
540,thank
541,Wait
542,Sure
543,Because
544,truth
545,means
546,Uh
547,though
548,waiting
549,police
550,break
551,gun
552,bed
553,country
554,either
555,check
556,At
557,trust
558,actually
559,sick
560,Captain
561,game
562,stand
563,everybody
564,death
565,along
566,inside
567,yours
568,suppose
569,water
570,buy
571,Sorry
572,body
573,fact
574,high
575,started
576,pick
577,behind
578,between
579,million
580,husband
